Problem Name,AC Rate,Language,Difficulty,Topics,Solved,Attempt,Error Messages,Status Runtime,Memory MB,Runtime Percentile,Memory Percentile
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,C,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Wrong Answer', '2': 'Wrong Answer'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,C#,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Wrong Answer', '2': 'Wrong Answer'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,C++,Medium,"['Array', 'Prefix Sum']",True,1,{'0': 'Wrong Answer'},103 ms,96.11129760742188,93.86299999999999,18.773100000000024
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Dart,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Wrong Answer', '2': 'Wrong Answer'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Elixir,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Compile Error', '2': 'Compile Error'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Erlang,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Runtime Error', '2': 'Runtime Error'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Go,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Wrong Answer', '2': 'Wrong Answer'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Java,Medium,"['Array', 'Prefix Sum']",True,2,"{'0': 'Wrong Answer', '1': 'Wrong Answer'}",2 ms,57.819366455078125,74.8899,21.5861
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,JavaScript,Medium,"['Array', 'Prefix Sum']",False,,"{'0': 'Wrong Answer', '1': 'Wrong Answer', '2': 'Wrong Answer'}",,,,
apply-operations-to-make-all-array-elements-equal-to-zero,32.05993643105797,Kotlin,Medium,"['Array', 'Prefix Sum']",True,0,{},584 ms,55.866241455078125,25.0,50.0
